# num_pages  ns_per_access_median  [individual repeat values]
1 2.559195 2.615830 2.559195 2.614455 2.535495 2.504620
2 1.868555 1.868555 1.851163 1.878505 1.874307 1.868318
4 1.629140 1.771016 1.753572 1.604016 1.629140 1.572255
8 1.731601 1.865659 1.709789 1.731601 1.662709 1.749303
16 5.007273 4.819408 5.161631 5.007273 4.713141 5.047565
32 5.166815 5.181764 5.166815 5.530216 5.149695 4.804477
64 5.058479 4.705303 4.995297 5.058479 5.154537 5.310169
128 5.186620 5.153085 5.308140 5.186620 4.957730 5.266289
256 5.077369 5.077369 5.242220 5.011279 5.278045 5.013737
512 5.199001 5.231404 5.199001 5.153742 5.220159 5.141507
1024 5.480749 5.404649 5.408260 5.506117 5.482004 5.480749
2048 5.466637 5.387084 5.518619 5.466637 5.443644 5.481242
4096 4.298746 4.263855 4.293274 4.299922 4.374578 4.298746
